EnemyID	EnemyNameKR	EnemyHP	EnemyAtkType	EnemyCollisionDmg	EnemyAtkDmg	EnemyAtkSpeed	EnemyAtkRange	EnemyArmor	EnemyMoveType	EnemyMoveSpeed	EnemyAbilityID
0000	리틀 스켈레톤	160	0	60	0	0	0	0	1	2	
0001	리틀 배트	160	0	80	0	0	0	1	1	5	
0002	스켈레톤 소드맨	400	1	80	80	10	1.3	10	1	2	
0003	스켈레톤 액스맨	640	1	80	160	5	1	20	1	1.5	
0004	리틀 스파이더	160	2	40	20	5	3	0	1	2	0001
0005	리틀 좀비	400	0	140	0	0	0	0	1	4	
0006	고스트	500	0	160	0	0	0	0	1	3	0007
0007	박쥐	400	0	160	0	0	0	1	1	5	
0008	좀비	800	1	120	120	4	1.2	20	1	5	0011
0009	뇌 두더지	600	1	0	200	4	1	30	1	3	0004,0007
0010	개구리	40	0	0	0	0	0	0	1	1	
