MapID	StageNumber	SpawnInfo
0000	1	0000 1|0000 2|0000 3|0000 4|0000 5|0000 6|0000 7|0000 8|0000 8|0000 8|0000 8|0000 8
0000	2	0000 1|0000 2|0000 2,0001 1|0000 3,0001 1|0000 4,0001 1|0000 4,0001 2|0000 5,0001 2|0000 6,0001 2|0000 5,0001 3|0000 4,0001 4|0000 3,0001 5|0001 8
0000	3	0000 2|0000 2,0004 1|0000 4,0004 1|0000 4,0004 2|0000 6,0004 2|0000 5,0001 1,0004 2|0000 4,0001 2,0004 2|0000 3,0001 3,0004 2|0000 2,0001 4,0004 2|0000 1,0001 5,0004 2|0001 6,0004 2|0001 8
0000	4	0000 4|0000 4,0001 1|0000 4,0001 2|0000 4,0001 3|0000 4,0001 4|0000 4,0001 4,0004 1|0000 4,0001 4,0004 2|0000 4,0001 4,0004 3|0000 4,0001 4,0004 4|0000 4,0001 4,0004 4|0000 4,0001 4,0004 4
0000	5	0000 3,0005 1|0000 3,0005 1|0000 3,0005 1|0000 3,0005 1,0002 1|0000 3,0005 1,0002 1|0000 3,0005 1,0002 1|0000 3,0005 1,0002 1|0000 3,0005 2,0002 1|0000 3,0005 2,0002 1|0000 6,0005 2,0002 1|0000 6,0005 2,0002 1
0000	6	0000 2,0001 2,0005 1|0000 4,0001 2,0005 1|0000 6,0001 2,0005 1,0002 1|0000 8,0001 2,0005 1,0002 1|0000 2,0001 2,0005 2,0002 1|0000 2,0001 2,0005 2,0002 1|0000 2,0001 2,0005 2,0002 2|0000 2,0001 2,0005 2,0002 2|0000 2,0001 2,0005 3,0002 2|0000 2,0001 2,0005 3,0002 2|0000 2,0001 2,0005 3,0002 3|0000 2,0001 2,0005 3,0002 3
0000	7	0005 2,0002 2|0005 3,0002 2|0005 4,0002 2|0005 5,0002 2|0005 5,0002 2|0005 6,0002 2|0005 7,0002 2|0005 8,0002 2|0005 8,0002 3|0005 8,0002 4|0005 8,0002 6|0005 8,0002 8
0000	8	0005 2,0006 1,0002 1|0005 2,0007 1,0002 1|0005 4,0006 1,0002 2|0005 4,0007 1,0002 2|0005 6,0006 1,0007 1,0002 2|0005 6,0006 1,0007 1,0002 2|0005 6,0006 1,0007 1,0002 3|0005 6,0006 1,0007 1,0002 3|0005 8,0006 2,0007 1,0002 3|0005 8,0006 1,0007 2,0002 3|0005 8,0006 2,0007 2,0002 4|0005 8,0006 2,0007 2,0002 4
0000	9	0002 4,0006 2|0002 4,0006 2|0002 6,0006 2|0002 6,0006 2|0002 8,0006 2|0002 8,0006 2|0002 8,0006 2,0003 1|0002 8,0006 2,0003 1|0002 8,0006 2,0003 1|0002 8,0006 2,0003 2|0002 8,0006 2,0003 3|0002 8,0006 2,0003 4
0000	10	0003 2,0005 4,0007 4|0003 2,0005 4,0007 4|0003 2,0005 4,0007 6|0003 2,0005 4,0007 6|0003 2,0005 4,0007 6|0003 2,0005 4,0007 6|0003 2,0005 4,0007 8|0003 2,0005 4,0007 8|0003 2,0005 4,0007 8|0003 2,0005 4,0007 8|0003 2,0005 4,0007 8|0003 2,0005 4,0007 8,0001 16
0000	11	0004 4,0006 2|0004 4,0006 2,0009 1|0004 4,0006 4|0004 4,0006 4,0009 1|0004 4,0006 6|0004 4,0006 6,0009 1|0004 4,0006 6|0004 4,0006 6,0009 1|0004 4,0006 6|0004 4,0006 6,0009 2|0004 4,0006 6,0009 2|0004 4,0006 6,0009 4
0000	12	0004 4,0005 2|0004 4,0005 2,0008 1|0004 4,0005 4|0004 4,0005 4,0008 1|0004 4,0005 6|0004 4,0005 6,0008 1|0004 4,0005 6|0004 4,0005 6,0008 1|0004 4,0005 6|0004 4,0005 6,0008 2|0004 4,0005 6,0008 2|0004 4,0005 6,0008 4
0000	13	0011 2,0008 1,0009 1|0011 2,0008 1,0009 1|0011 2,0008 1,0009 2|0011 2,0008 1,0009 2|0011 2,0008 2,0009 2|0011 2,0008 2,0009 2|0011 2,0008 2,0009 3|0011 2,0008 2,0009 3|0011 2,0008 3,0009 3|0011 2,0008 3,0009 3|0011 4,0008 3,0009 4|0011 4,0008 3,0009 4
0000	14	0002 8,0008 2,0012 2|0002 8,0008 2,0012 2|0002 8,0008 2,0012 2|0002 8,0008 2,0012 2,0011 2|0002 8,0008 2,0012 2,0003 4|0002 8,0008 2,0012 2,0003 4|0002 8,0008 2,0012 2,0003 4,0011 2|0002 8,0008 2,0012 2,0011 2,0003 4|0002 8,0008 2,0012 2,0003 8,0011 2|0002 8,0008 2,0012 2,0003 8,0011 2|0002 8,0008 2,0012 4,0003 8, 0011 4|0002 8,0008 2,0012 4,0011 4,0003 8
0000	15	0002 8,0008 2,0012 2|0002 8,0008 2,0012 2|0002 8,0008 2,0012 2,0011 2|0002 8,0008 2,0012 2,0011 2,0013 2|0002 8,0008 2,0012 2,0003 4|0002 8,0008 2,0012 2,0003 4|0002 8,0008 2,0012 2,0003 4,0011 2|0002 8,0008 2,0012 2,0011 2,0003 4,0013 2|0002 8,0008 2,0012 2,0003 8,0011 2|0002 8,0008 2,0012 2,0003 8,0011 2|0002 8,0008 2,0012 4,0003 8, 0011 4,0013 2|0002 8,0008 2,0012 4,0011 4,0003 8,0013 2
0000	16	0008 4,0012 2,0013 2|0008 4,0012 2,0013 2|0008 4,0012 2,0013 2|0008 4,0012 2,0013 2|0008 4,0012 4,0013 2|0008 4,0012 4,0013 2|0008 4,0012 4,0013 2|0008 4,0012 4,0013 2|0008 4,0012 4,0013 4|0008 4,0012 4,0013 4|0008 4,0012 4,0013 4|0008 16
0000	17	0009 4,0011 2|0009 4,0011 2|0009 6,0011 2|0009 6,0011 2|0009 6,0011 3|0009 6,0011 3|0009 8,0011 3|0009 8,0011 3|0009 8,0011 4|0009 8,0011 4|0009 10,0011 4|0009 10,0011 6
0000	18	0008 8,0011 2,0012 2|0008 8,0011 2,0012 2|0008 8,0011 2,0012 2|0008 8,0011 2,0012 2|0008 8,0011 2,0012 2,0013 2|0008 8,0011 2,0012 2,0013 2|0008 8,0011 2,0012 2,0013 2|0008 8,0011 2,0012 2,0013 2|0008 8,0011 4,0012 2,0013 2|0008 8,0011 4,0012 2,0013 2|0008 8,0011 4,0012 4,0013 4|0008 8,0011 4,0012 4,0013 4
0000	19	0000 32|0001 24,0004 8|0002 16,0003 8|0005 24|0007 16|0006 16|0009 8|0008 8|0011 8|0012 8|0013 8|0011 8,0012 8,0013 8
0000	20	0014 1|0011 2|0011 2|0011 2|0011 2,0012 2,0013 2|0011 2,0012 2,0013 2|0011 2,0012 2,0013 2|0011 2,0012 2,0013 2|0011 4,0012 4,0013 4|0011 4,0012 4,0013 4|0011 4,0012 4,0013 4|0011 4,0012 4,0013 4
